Name,Type,Mana Cost,Power,Toughness,Text
"Drivnod, Carnage Dominus",Legendary Creature — Phyrexian Horror,{3}{B}{B},8,3,"If a creature dying causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
{B/P}{B/P}, Exile three creature cards from your graveyard: Put an indestructible counter on Drivnod, Carnage Dominus. ({B/P} can be paid with either {B} or 2 life.)"
"Geth, Thane of Contracts",Legendary Creature — Phyrexian Zombie,{1}{B}{B},3,4,"Other creatures you control get -1/-1.
{1}{B}{B}, {T}: Return target creature card from your graveyard to the battlefield. It gains ""If this creature would leave the battlefield, exile it instead of putting it anywhere else."" Activate only as a sorcery."
"Karumonix, the Rat King",Legendary Creature — Phyrexian Rat,{1}{B}{B},3,3,"Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)
Other Rats you control have toxic 1.
When Karumonix enters the battlefield, look at the top five cards of your library. You may reveal any number of Rat cards from among them and put the revealed cards into your hand. Put the rest on the bottom of your library in a random order."
Phyrexian Obliterator,Creature — Phyrexian Horror,{B}{B}{B}{B},5,5,"Trample
Whenever a source deals damage to Phyrexian Obliterator, that source's controller sacrifices that many permanents."
"Vraan, Executioner Thane",Legendary Creature — Phyrexian Vampire,{1}{B},2,2,"Whenever one or more other creatures you control die, each opponent loses 2 life and you gain 2 life. This ability triggers only once each turn."
"Vraska, Betrayal's Sting",Legendary Planeswalker — Vraska,{4}{B}{B/P},,,"Compleated ({B/P} can be paid with {B} or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)
[0]: You draw a card and you lose 1 life. Proliferate.
[−2]: Target creature becomes a Treasure artifact with ""{T}, Sacrifice this artifact: Add one mana of any color"" and loses all other card types and abilities.
[−9]: If target player has fewer than nine poison counters, they get a number of poison counters equal to the difference."
"Vraska, Betrayal's Sting",Legendary Planeswalker — Vraska,{4}{B}{B/P},,,"Compleated ({B/P} can be paid with {B} or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)
[0]: You draw a card and you lose 1 life. Proliferate.
[−2]: Target creature becomes a Treasure artifact with ""{T}, Sacrifice this artifact: Add one mana of any color"" and loses all other card types and abilities.
[−9]: If target player has fewer than nine poison counters, they get a number of poison counters equal to the difference."
Capricious Hellraiser,Creature — Phyrexian Dragon,{3}{R}{R}{R},4,4,"This spell costs {3} less to cast if you have nine or more cards in your graveyard.
Flying
When Capricious Hellraiser enters the battlefield, exile three cards at random from your graveyard. Choose a noncreature, nonland card from among them and copy it. You may cast the copy without paying its mana cost."
Furnace Punisher,Creature — Phyrexian Warrior,{2}{R},3,3,"Menace
At the beginning of each player's upkeep, Furnace Punisher deals 2 damage to that player unless they control two or more basic lands."
"Koth, Fire of Resistance",Legendary Planeswalker — Koth,{2}{R}{R},,,"[+2]: Search your library for a basic Mountain card, reveal it, put it into your hand, then shuffle.
[−3]: Koth, Fire of Resistance deals damage to target creature equal to the number of Mountains you control.
[−7]: You get an emblem with ""Whenever a Mountain enters the battlefield under your control, this emblem deals 4 damage to any target."""
Sawblade Scamp,Creature — Phyrexian Beast,{R},1,1,"Haste
Whenever you cast a noncreature spell, put an oil counter on Sawblade Scamp.
{T}, Remove an oil counter from Sawblade Scamp: It deals 1 damage to each opponent."
"Slobad, Iron Goblin",Legendary Creature — Phyrexian Goblin Artificer,{2}{R},3,3,"{T}, Sacrifice an artifact: Add an amount of {R} equal to the sacrificed artifact's mana value. Spend this mana only to cast artifact spells or activate abilities of artifacts."
"Solphim, Mayhem Dominus",Legendary Creature — Phyrexian Horror,{2}{R}{R},5,4,"If a source you control would deal noncombat damage to an opponent or a permanent an opponent controls, it deals double that damage to that player or permanent instead.
{1}{R/P}{R/P}, Discard two cards: Put an indestructible counter on Solphim, Mayhem Dominus. ({R/P} can be paid with either {R} or 2 life.)"
Urabrask's Anointer,Artifact Creature — Phyrexian Wizard,{3}{R},4,2,"When Urabrask's Anointer enters the battlefield, it deals X damage to any target, where X is the number of permanents you control with oil counters on them."
Cankerbloom,Creature — Phyrexian Fungus,{1}{G},3,2,"{1}, Sacrifice Cankerbloom: Choose one —
• Destroy target artifact.
• Destroy target enchantment.
• Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
Evolved Spinoderm,Creature — Phyrexian Beast,{2}{G}{G},5,5,"Evolved Spinoderm enters the battlefield with four oil counters on it.
Evolved Spinoderm has trample as long as it has two or fewer oil counters on it. Otherwise, it has hexproof.
At the beginning of your upkeep, remove an oil counter from Evolved Spinoderm. Then if it has no oil counters on it, sacrifice it."
"Nissa, Ascended Animist",Legendary Planeswalker — Nissa,{3}{G}{G}{G/P}{G/P},,,"Compleated ({G/P} can be paid with {G} or 2 life. For each {G/P} paid with life, this planeswalker enters with two fewer loyalty counters.)
[+1]: Create an X/X green Phyrexian Horror creature token, where X is Nissa, Ascended Animist's loyalty.
[−1]: Destroy target artifact or enchantment.
[−7]: Until end of turn, creatures you control get +1/+1 for each Forest you control and gain trample."
"Nissa, Ascended Animist",Legendary Planeswalker — Nissa,{3}{G}{G}{G/P}{G/P},,,"Compleated ({G/P} can be paid with {G} or 2 life. For each {G/P} paid with life, this planeswalker enters with two fewer loyalty counters.)
[+1]: Create an X/X green Phyrexian Horror creature token, where X is Nissa, Ascended Animist's loyalty.
[−1]: Destroy target artifact or enchantment.
[−7]: Until end of turn, creatures you control get +1/+1 for each Forest you control and gain trample."
Rustvine Cultivator,Creature — Phyrexian Elf Druid,{G},1,2,"{T}: Put an oil counter on Rustvine Cultivator.
{T}, Remove an oil counter from Rustvine Cultivator: Untap target land."
"Thrun, Breaker of Silence",Legendary Creature — Troll Shaman,{3}{G}{G},5,5,"This spell can't be countered.
Trample
Thrun, Breaker of Silence can't be the target of nongreen spells your opponents control or abilities from nongreen sources your opponents control.
As long as it's your turn, Thrun has indestructible."
Tyrranax Rex,Creature — Phyrexian Dinosaur,{4}{G}{G}{G},8,8,"This spell can't be countered.
Trample, ward {4}, haste
Toxic 4 (Players dealt combat damage by this creature also get four poison counters.)"
"Zopandrel, Hunger Dominus",Legendary Creature — Phyrexian Horror,{5}{G}{G},4,6,"Reach
At the beginning of each combat, double the power and toughness of each creature you control until end of turn.
{G/P}{G/P}, Sacrifice two other creatures: Put an indestructible counter on Zopandrel, Hunger Dominus. ({G/P} can be paid with either {G} or 2 life.)"
"Atraxa, Grand Unifier",Legendary Creature — Phyrexian Angel,{3}{G}{W}{U}{B},7,7,"Flying, vigilance, deathtouch, lifelink
When Atraxa, Grand Unifier enters the battlefield, reveal the top ten cards of your library. For each card type, you may put a card of that type from among the revealed cards into your hand. Put the rest on the bottom of your library in a random order. (Artifact, battle, creature, enchantment, instant, land, planeswalker, and sorcery are card types.)"
"Ezuri, Stalker of Spheres",Legendary Creature — Phyrexian Elf Warrior,{2}{G}{U},3,3,"When Ezuri, Stalker of Spheres enters the battlefield, you may pay {3}. If you do, proliferate twice.
Whenever you proliferate, draw a card."
Glissa Sunslayer,Legendary Creature — Phyrexian Zombie Elf,{1}{B}{G},3,3,"First strike, deathtouch
Whenever Glissa Sunslayer deals combat damage to a player, choose one —
• You draw a card and you lose 1 life.
• Destroy target enchantment.
• Remove up to three counters from target permanent."
"Jor Kadeen, First Goldwarden",Legendary Creature — Human Rebel,{R}{W},2,2,"Trample
Whenever Jor Kadeen, First Goldwarden attacks, it gets +X/+X until end of turn, where X is the number of equipped creatures you control. Then if Jor Kadeen's power is 4 or greater, draw a card."
"Kaito, Dancing Shadow",Legendary Planeswalker — Kaito,{2}{U}{B},,,"Whenever one or more creatures you control deal combat damage to a player, you may return one of them to its owner's hand. If you do, you may activate loyalty abilities of Kaito twice this turn rather than only once.
[+1]: Up to one target creature can't attack or block until your next turn.
[0]: Draw a card.
[−2]: Create a 2/2 colorless Drone artifact creature token with deathtouch and ""When this creature leaves the battlefield, each opponent loses 2 life and you gain 2 life."""
"Kaya, Intangible Slayer",Legendary Planeswalker — Kaya,{3}{W}{W}{B}{B},,,"Hexproof
[+2]: Each opponent loses 3 life and you gain 3 life.
[0]: You draw two cards. Then each opponent may scry 1.
[−3]: Exile target creature or enchantment. If it wasn't an Aura, create a token that's a copy of it, except it's a 1/1 white Spirit creature with flying in addition to its other types."
"Kethek, Crucible Goliath",Legendary Creature — Phyrexian Beast,{2}{B}{R},4,4,"At the beginning of your end step, you may sacrifice another creature. If you do, reveal cards from the top of your library until you reveal a nonlegendary creature card with lesser mana value, put it onto the battlefield, then put the rest on the bottom of your library in a random order."
"Lukka, Bound to Ruin",Legendary Planeswalker — Lukka,{2}{R}{R/G/P}{G},,,"Compleated ({R/G/P} can be paid with {R}, {G}, or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)
[+1]: Add {R}{G}. Spend this mana only to cast creature spells or activate abilities of creatures.
[−1]: Create a 3/3 green Phyrexian Beast creature token with toxic 1.
[−4]: Lukka deals X damage divided as you choose among any number of target creatures and/or planeswalkers, where X is the greatest power among creatures you controlled as you activated this ability."
"Lukka, Bound to Ruin",Legendary Planeswalker — Lukka,{2}{R}{R/G/P}{G},,,"Compleated ({R/G/P} can be paid with {R}, {G}, or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)
[+1]: Add {R}{G}. Spend this mana only to cast creature spells or activate abilities of creatures.
[−1]: Create a 3/3 green Phyrexian Beast creature token with toxic 1.
[−4]: Lukka deals X damage divided as you choose among any number of target creatures and/or planeswalkers, where X is the greatest power among creatures you controlled as you activated this ability."
"Malcator, Purity Overseer",Legendary Creature — Phyrexian Elephant Wizard,{1}{W}{U},1,1,"When Malcator, Purity Overseer enters the battlefield, create a 3/3 colorless Phyrexian Golem artifact creature token.
At the beginning of your end step, if three or more artifacts entered the battlefield under your control this turn, create a 3/3 colorless Phyrexian Golem artifact creature token."
